Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,226844344,2910.2978950910583,3769361,48.35899009295257,571075,4666334,59.86669880555557,62491,0.8017278392541073,9400
United States of America,Americas,41395425,12506.07,1054448,318.56,156736,663141,200.34,13647,4.12,1997
India,South-East Asia,33381728,2418.96,206774,14.98,34403,444248,32.19,2239,0.16,320
Brazil,Americas,21034610,9895.87,106602,50.15,14780,588597,276.91,4176,1.96,800
The United Kingdom,Europe,7339013,10810.79,206937,304.83,26326,134805,198.58,964,1.42,158
Russian Federation,Europe,7234425,4957.31,131800,90.31,19905,196626,134.74,5461,3.74,791
Turkey,Europe,6767008,8023.57,176594,209.39,28118,60903,72.21,1733,2.05,262
France,Europe,6727094,10343.11,51371,78.98,7690,113813,174.99,397,0.61,60
Iran (Islamic Republic of),Eastern Mediterranean,5378408,6403.4,140609,167.41,18021,116072,138.19,3137,3.73,453
Argentina,Americas,5232358,11577.1,17026,37.67,2510,113969,252.17,1007,2.23,153
Colombia,Americas,4934568,9697.89,11371,22.35,1570,125753,247.14,326,0.64,40
Spain,Europe,4926324,10407.88,18471,39.02,1682,85739,181.14,245,0.52,14
Italy,Europe,4623155,7751.58,32214,54.01,5115,130167,218.25,401,0.67,67
Indonesia,South-East Asia,4185144,1530.09,26413,9.66,3835,140138,51.23,1707,0.62,219
Germany,Europe,4125878,4960.97,66797,80.32,11022,92857,111.65,304,0.37,20
Mexico,Americas,3542189,2747.32,77018,59.74,13217,269913,209.34,4493,3.48,897
Poland,Europe,2896599,7631.04,3957,10.42,652,75473,198.83,56,0.15,9
South Africa,Africa,2873415,4844.85,30373,51.21,4214,85779,144.63,1452,2.45,311
Ukraine,Europe,2338164,5346.36,27610,63.13,6624,54750,125.19,499,1.14,99
Philippines,Western Pacific,2304192,2102.73,142386,129.94,21261,36018,32.87,1285,1.17,276
Peru,Americas,2163312,6561.09,5776,17.52,1018,198860,603.12,265,0.8,20
Malaysia,Western Pacific,2049750,6333.03,129976,401.58,18815,22355,69.07,2869,8.86,346
Netherlands,Europe,1979114,11369.26,15283,87.8,2130,18097,103.96,39,0.22,7
Iraq,Eastern Mediterranean,1967187,4890.76,27779,69.06,3923,21683,53.91,350,0.87,52
Czechia,Europe,1685435,15760.66,2951,27.6,550,30427,284.53,8,0.07,0
Japan,Western Pacific,1663024,1314.89,49183,38.89,6020,17030,13.46,427,0.34,71
Chile,Americas,1645820,8609.56,3174,16.6,587,37293,195.09,134,0.7,32
Canada,Americas,1559410,4131.75,30110,79.78,4289,27305,72.35,199,0.53,42
Bangladesh,South-East Asia,1540110,935.16,12895,7.83,1907,27147,16.48,315,0.19,38
Thailand,South-East Asia,1448792,2075.63,95839,137.31,14555,15124,21.67,1204,1.72,171
Belgium,Europe,1217473,10566.1,10908,94.67,2,25494,221.26,41,0.36,0
Pakistan,Eastern Mediterranean,1215821,550.41,21623,9.79,3012,27004,12.22,507,0.23,66
Israel,Europe,1208933,13967.16,60233,695.89,3171,7465,86.25,120,1.39,3
Sweden,Europe,1143973,11076.86,7428,71.92,1200,14753,142.85,15,0.15,0
Romania,Europe,1139505,5895.36,23604,122.12,4478,35359,182.93,445,2.3,73
Portugal,Europe,1059409,10289.61,7282,70.73,1062,17888,173.74,52,0.51,6
Kazakhstan,Europe,928341,4944.11,23870,127.13,3317,15031,80.05,608,3.24,0
Morocco,Eastern Mediterranean,910991,2468.1,14078,38.14,2642,13729,37.2,359,0.97,46
Serbia,Europe,846114,12215.25,45755,660.56,7602,7664,110.64,196,2.83,31
Switzerland,Europe,817472,9445.5,11492,132.78,2,10553,121.93,26,0.3,0
Hungary,Europe,817159,8364.37,2427,24.84,479,30123,308.34,37,0.38,5
Jordan,Eastern Mediterranean,810559,7944.22,5345,52.39,1116,10574,103.63,56,0.55,6
Nepal,South-East Asia,783075,2687.58,7527,25.83,1086,11012,37.79,88,0.3,10
Cuba,Americas,776125,6852.22,55386,488.99,7628,6601,58.28,545,4.81,78
United Arab Emirates,Eastern Mediterranean,731307,7394.11,4510,45.6,564,2069,20.92,12,0.12,1
Austria,Europe,714655,8028.87,14588,163.89,2283,10650,119.65,37,0.42,8
Tunisia,Eastern Mediterranean,685799,5802.7,4135,34.99,0,24244,205.13,158,1.34,0
Viet Nam,Western Pacific,656129,674.07,80033,82.22,10489,16425,16.87,1955,2.01,239
Greece,Europe,625083,5831.78,15564,145.21,2322,14354,133.92,294,2.74,43
Lebanon,Eastern Mediterranean,615532,9018.2,4435,64.98,844,8218,120.4,61,0.89,8
Georgia,Europe,591766,14834.3,16556,415.02,2039,8446,211.72,357,8.95,56
Saudi Arabia,Eastern Mediterranean,546336,1569.31,609,1.75,85,8645,24.83,41,0.12,5
Guatemala,Americas,521093,2908.6,23403,130.63,1107,12907,72.04,439,2.45,48
Belarus,Europe,510481,5402.3,13061,138.22,1967,3966,41.97,84,0.89,13
Ecuador,Americas,505860,2867.19,1603,9.09,232,32559,184.54,194,1.1,68
Costa Rica,Americas,499461,9804.66,15477,303.82,2725,5889,115.6,187,3.67,38
Sri Lanka,South-East Asia,498694,2328.9,18216,85.07,0,11817,55.19,822,3.84,0
Bolivia (Plurinational State of),Americas,496032,4249.39,2118,18.14,420,18616,159.48,75,0.64,13
Bulgaria,Europe,478885,6888.96,10585,152.27,1724,19876,285.92,489,7.03,67
Azerbaijan,Europe,467173,4607.6,14637,144.36,1783,6227,61.42,233,2.3,32
Panama,Americas,463086,10732.58,2257,52.31,316,7159,165.92,55,1.27,7
Paraguay,Americas,459461,6441.76,399,5.59,70,16118,225.98,98,1.37,4
Myanmar,South-East Asia,442928,814.06,15412,28.33,2187,16944,31.14,591,1.09,75
Kuwait,Eastern Mediterranean,410960,9623.07,329,7.7,59,2435,57.02,7,0.16,1
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,406992,7978.02,13215,259.05,0,4124,80.84,76,1.49,0
Slovakia,Europe,401250,7351.77,3491,63.96,902,12569,230.29,11,0.2,3
Croatia,Europe,389654,9601.73,7708,189.94,1394,8481,208.99,68,1.68,9
Uruguay,Americas,387156,11145.25,1074,30.92,128,6045,174.02,8,0.23,1
Ireland,Europe,371301,7479.21,9605,193.48,1413,5179,104.32,24,0.48,0
Honduras,Americas,354970,3583.89,6076,61.35,0,9400,94.91,176,1.78,0
Dominican Republic,Americas,354443,3267.39,2002,18.46,274,4025,37.1,11,0.1,3
Denmark,Europe,353744,6075.19,2748,47.19,313,2619,44.98,15,0.26,2
Venezuela (Bolivarian Republic of),Americas,350795,1233.63,7617,26.79,1064,4245,14.93,95,0.33,17
Libya,Eastern Mediterranean,328856,4785.94,7486,108.95,1053,4480,65.2,83,1.21,11
Ethiopia,Africa,328735,285.95,8282,7.2,1669,5059,4.4,202,0.18,24
Lithuania,Europe,313692,11226.98,7134,255.32,1211,4763,170.47,108,3.87,12
Oman,Eastern Mediterranean,303309,5939.52,385,7.54,41,4092,80.13,8,0.16,2
Egypt,Eastern Mediterranean,294482,287.76,2897,2.83,531,16908,16.52,72,0.07,13
Mongolia,Western Pacific,288734,8807.46,31927,973.89,5239,1010,30.81,34,1.04,17
Republic of Korea,Western Pacific,281938,549.92,12576,24.53,2008,2389,4.66,41,0.08,3
Slovenia,Europe,280544,13385.62,7010,334.47,1325,4809,229.45,13,0.62,2
Republic of Moldova,Europe,279143,6919.82,6087,150.89,1289,6569,162.84,91,2.26,10
Bahrain,Eastern Mediterranean,273977,16101.38,523,30.74,61,1388,81.57,0,0,0
Armenia,Europe,252082,8506.99,4416,149.03,759,5101,172.14,122,4.12,26
Kenya,Africa,245337,456.26,3053,5.68,511,4961,9.23,97,0.18,12
Qatar,Eastern Mediterranean,235187,8163.23,1116,38.74,292,604,20.96,0,0,0
Bosnia and Herzegovina,Europe,224862,6853.85,5058,154.17,905,10161,309.71,185,5.64,30
Zambia,Africa,208267,1132.87,707,3.85,106,3636,19.78,13,0.07,0
Algeria,Africa,200989,458.34,1714,3.91,219,5651,12.89,132,0.3,21
Nigeria,Africa,200957,97.49,3184,1.54,601,2647,1.28,62,0.03,7
North Macedonia,Europe,185450,8901.4,3575,171.6,557,6367,305.61,183,8.78,28
Norway,Europe,180427,3361.42,6127,114.15,981,841,15.67,14,0.26,0
Puerto Rico,Americas,177982,6221.29,2809,98.19,522,3055,106.79,88,3.08,11
Kyrgyzstan,Europe,177567,2721.67,584,8.95,83,2583,39.59,17,0.26,2
Botswana,Africa,172252,7324.8,8587,365.15,6608,2343,99.63,18,0.77,6
Uzbekistan,Europe,167268,499.77,4160,12.43,624,1179,3.52,37,0.11,4
Albania,Europe,160365,5572.49,6049,210.2,942,2563,89.06,32,1.11,6
Kosovo[1],Europe,158353,8818.62,3086,171.86,368,2849,158.66,131,7.3,14
Afghanistan,Eastern Mediterranean,154487,396.85,525,1.35,126,7186,18.46,22,0.06,3
Mozambique,Africa,149804,479.29,1077,3.45,133,1902,6.09,11,0.04,4
Latvia,Europe,149614,7842.74,3233,169.47,533,2635,138.13,33,1.73,3
Estonia,Europe,148923,11205.85,3038,228.6,532,1322,99.48,13,0.98,3
Finland,Europe,135815,2458.06,3153,57.06,501,1051,19.02,1,0.02,0
Zimbabwe,Africa,127368,856.95,1312,8.83,285,4560,30.68,39,0.26,9
Namibia,Africa,126498,4978.46,601,23.65,0,3448,135.7,31,1.22,0
Montenegro,Europe,124475,19818.9,4324,688.47,703,1818,289.46,38,6.05,5
China,Western Pacific,123904,8.42,518,0.04,96,5688,0.39,2,0,0
Ghana,Africa,123874,398.66,1331,4.28,0,1098,3.53,14,0.05,0
Uganda,Africa,121984,266.68,22283,48.72,22283,3121,6.82,90,0.2,90
Cyprus,Europe,118570,13352.4,1017,114.53,124,545,61.37,10,1.13,1
Cambodia,Western Pacific,102136,610.9,4612,27.59,693,2078,12.43,71,0.42,11
El Salvador,Americas,99701,1537.12,1579,24.34,0,3066,47.27,71,1.09,10
Rwanda,Africa,94478,729.43,2923,22.57,423,1193,9.21,40,0.31,9
Cameroon,Africa,85414,321.76,1204,4.54,0,1368,5.15,11,0.04,0
Maldives,South-East Asia,83248,15400.78,670,123.95,0,227,41.99,0,0,0
Australia,Western Pacific,80402,315.3,12392,48.6,1885,1128,4.42,62,0.24,12
Jamaica,Americas,77989,2633.73,3982,134.47,492,1768,59.71,83,2.8,11
Luxembourg,Europe,77098,12313.85,558,89.12,102,834,133.2,1,0.16,0
Singapore,Western Pacific,74848,1279.38,4809,82.2,910,59,1.01,2,0.03,1
Senegal,Africa,73562,439.34,209,1.25,23,1841,11,16,0.1,3
Malawi,Africa,61250,320.18,255,1.33,43,2251,11.77,22,0.12,5
Côte d’Ivoire,Africa,58531,221.89,1107,4.2,190,546,2.07,54,0.2,6
Democratic Republic of the Congo,Africa,56387,62.96,291,0.32,30,1068,1.19,0,0,0
Réunion,Africa,52643,5879.85,992,110.8,0,358,39.99,4,0.45,0
Angola,Africa,51827,157.69,2199,6.69,420,1371,4.17,58,0.18,11
Guadeloupe,Americas,51485,12867.26,1970,492.35,0,695,173.7,89,22.24,0
Fiji,Western Pacific,49587,5531.52,1015,113.23,197,544,60.68,11,1.23,4
Trinidad and Tobago,Americas,47653,3405.03,1370,97.89,290,1391,99.39,43,3.07,5
Eswatini,Africa,45274,3902.38,628,54.13,96,1194,102.92,28,2.41,4
French Polynesia,Western Pacific,44612,15881.36,901,320.75,0,585,208.25,47,16.73,2
Madagascar,Africa,42873,154.83,0,0,0,956,3.45,0,0,0
Martinique,Americas,40079,10680.19,821,218.78,133,585,155.89,32,8.53,4
French Guiana,Americas,38021,12729.59,1540,515.6,265,232,77.67,7,2.34,1
Sudan,Eastern Mediterranean,37995,86.65,59,0.13,0,2833,6.46,42,0.1,0
Malta,Europe,36900,7171.12,264,51.31,25,452,87.84,6,1.17,2
Cabo Verde,Africa,36891,6635.23,564,101.44,75,327,58.81,9,1.62,3
Mauritania,Africa,35219,757.45,625,13.44,77,761,16.37,18,0.39,1
Suriname,Americas,35208,6001.72,3314,564.92,571,780,132.96,34,5.8,7
Guinea,Africa,30136,229.47,183,1.39,51,370,2.82,7,0.05,2
Syrian Arab Republic,Eastern Mediterranean,29974,171.27,1026,5.86,169,2097,11.98,43,0.25,7
Guyana,Americas,28532,3627.48,1471,187.02,298,701,89.12,44,5.59,9
Gabon,Africa,27291,1226.16,912,40.98,0,174,7.82,5,0.22,0
Togo,Africa,24226,292.63,962,11.62,133,211,2.55,8,0.1,2
Benin,Africa,21450,176.93,1609,13.27,0,146,1.2,5,0.04,0
Haiti,Americas,21330,187.06,138,1.21,0,596,5.23,1,0.01,0
Seychelles,Africa,20593,20939.12,0,0,0,106,107.78,0,0,0
Mayotte,Africa,20107,7370.2,92,33.72,40,176,64.51,1,0.37,0
Bahamas,Americas,19795,5033.77,520,132.23,0,469,119.26,16,4.07,0
Timor-Leste,South-East Asia,18943,1436.77,635,48.16,87,103,7.81,15,1.14,1
Somalia,Eastern Mediterranean,18820,118.42,547,3.44,252,1041,6.55,24,0.15,9
Papua New Guinea,Western Pacific,18808,210.22,451,5.04,266,207,2.31,13,0.15,3
Belize,Americas,18143,4562.81,892,224.33,176,385,96.82,16,4.02,2
Lao People's Democratic Republic,Western Pacific,18059,248.21,1317,18.1,154,16,0.22,0,0,0
Tajikistan,Europe,17484,183.32,30,0.31,0,125,1.31,0,0,0
Burundi,Africa,16356,137.55,2167,18.22,360,12,0.1,0,0,0
Curaçao,Americas,15867,9669.52,317,193.18,53,155,94.46,4,2.44,0
Aruba,Americas,15155,14194.59,200,187.33,26,156,146.11,3,2.81,1
Andorra,Europe,15113,19559.96,35,45.3,5,130,168.25,0,0,0
Mali,Africa,15021,74.17,52,0.26,18,545,2.69,3,0.01,2
Lesotho,Africa,14395,671.96,0,0,0,403,18.81,0,0,0
Mauritius,Africa,14243,1119.94,1129,88.77,170,50,3.93,8,0.63,2
Burkina Faso,Africa,13984,66.9,112,0.54,12,172,0.82,1,0,0
Congo,Africa,13701,248.29,0,0,0,183,3.32,0,0,0
Guam,Western Pacific,11955,7083.4,577,341.88,83,174,103.1,15,8.89,3
Djibouti,Eastern Mediterranean,11927,1207.19,103,10.43,30,157,15.89,0,0,0
South Sudan,Africa,11790,105.33,201,1.8,23,121,1.08,1,0.01,0
Iceland,Europe,11377,3124.4,178,48.88,39,33,9.06,0,0,0
Central African Republic,Africa,11309,234.15,0,0,0,100,2.07,0,0,0
Equatorial Guinea,Africa,11063,788.53,779,55.52,271,137,9.76,8,0.57,1
Nicaragua,Americas,10245,154.65,513,7.74,0,202,3.05,1,0.02,0
Saint Lucia,Americas,10217,5564,890,484.68,135,139,75.7,11,5.99,3
Gambia,Africa,9867,408.29,47,1.94,0,330,13.66,2,0.08,0
Jersey,Europe,9726,9022.6,165,153.07,20,78,72.36,0,0,0
Yemen,Eastern Mediterranean,8527,28.59,309,1.04,0,1612,5.4,70,0.23,0
Isle of Man,Europe,7068,8312.16,138,162.29,18,48,56.45,0,0,0
Eritrea,Africa,6667,187.99,13,0.37,4,40,1.13,0,0,0
Sierra Leone,Africa,6388,80.08,10,0.13,0,121,1.52,0,0,0
United States Virgin Islands,Americas,6351,6081.88,169,161.84,53,67,64.16,4,3.83,1
Barbados,Americas,6177,2149.46,604,210.18,124,53,18.44,2,0.7,1
Guinea-Bissau,Africa,6053,307.57,95,4.83,11,130,6.61,6,0.3,0
Niger,Africa,5938,24.53,30,0.12,9,201,0.83,2,0.01,1
Liberia,Africa,5904,116.73,177,3.5,177,283,5.6,38,0.75,38
Gibraltar,Europe,5463,16215.01,54,160.28,9,97,287.91,0,0,0
San Marino,Europe,5412,15946.73,39,114.92,4,90,265.19,0,0,0
Chad,Africa,5023,30.58,10,0.06,0,174,1.06,0,0,0
Brunei Darussalam,Western Pacific,4675,1068.62,844,192.92,109,20,4.57,5,1.14,0
Comoros,Africa,4104,471.94,11,1.26,4,147,16.9,0,0,0
Bermuda,Americas,4027,6466.69,754,1210.8,150,37,59.42,2,3.21,1
Sint Maarten,Americas,4021,9376.89,100,233.2,0,58,135.25,1,2.33,0
Saint Martin,Americas,3659,9464.81,115,297.47,0,33,85.36,2,5.17,0
New Zealand,Western Pacific,3658,75.86,148,3.07,16,27,0.56,0,0,0
Liechtenstein,Europe,3510,9058.77,24,61.94,0,58,149.69,0,0,0
Monaco,Europe,3288,8378.35,23,58.61,3,35,89.19,0,0,0
Grenada,Americas,3030,2692.78,1282,1139.32,290,43,38.21,29,25.77,5
Sao Tome and Principe,Africa,2984,1361.57,246,112.25,91,42,19.16,3,1.37,0
Turks and Caicos Islands,Americas,2794,7216.28,67,173.05,20,21,54.24,1,2.58,0
Dominica,Americas,2758,3831.03,583,809.82,124,8,11.11,2,2.78,0
British Virgin Islands,Americas,2642,8737.64,0,0,0,37,122.37,0,0,0
Saint Vincent and the Grenadines,Americas,2613,2355.33,222,200.11,54,13,11.72,1,0.9,0
Bhutan,South-East Asia,2596,336.44,0,0,0,3,0.39,0,0,0
New Caledonia,Western Pacific,2460,861.65,2207,773.04,1112,7,2.45,6,2.1,3
Antigua and Barbuda,Americas,2304,2352.72,330,336.98,0,48,49.02,1,1.02,0
Bonaire,Americas,1914,9151.33,64,306,4,17,81.28,0,0,0
Saint Barthélemy,Americas,1613,16317.65,6,60.7,0,2,20.23,0,0,0
Saint Kitts and Nevis,Americas,1589,2987.29,237,445.56,33,9,16.92,4,7.52,0
Guernsey,Europe,1483,2300.37,99,153.56,21,20,31.02,2,3.1,2
United Republic of Tanzania,Africa,1367,2.29,0,0,0,50,0.08,0,0,0
Faroe Islands,Europe,1050,2148.78,18,36.84,4,2,4.09,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Cayman Islands,Americas,758,1153.38,35,53.26,13,2,3.04,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Greenland,Europe,441,776.79,59,103.92,8,0,0,0,0,0
Anguilla,Americas,325,2166.38,20,133.32,0,0,0,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,258,448.25,9,15.64,0,2,3.47,0,0,0
Falkland Islands (Malvinas),Americas,65,1866.21,1,28.71,1,0,0,0,0,0
Montserrat,Americas,33,660.13,1,20,1,1,20,0,0,0
Saint Pierre and Miquelon,Americas,31,534.94,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Sint Eustatius,Americas,24,764.57,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,11,569.06,0,0,0,0,0,0,0,0
Palau,Western Pacific,5,27.64,3,16.58,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
