Country,Population,Total Deaths,Deaths
Peru,"32,971,836","200,326",1 in 165
Bosnia and Herzegovina,"3,280,813","11,717",1 in 280
Bulgaria,"6,951,484","24,755",1 in 281
North Macedonia,"2,083,381","7,194",1 in 290
Montenegro,"628,062","2,119",1 in 296
Hungary,"9,769,515","31,184",1 in 313
Brunei,"33,690",98,1 in 344
Czechia,"10,693,941","30,938",1 in 346
Brazil,"212,559,584","608,235",1 in 349
San Marino,"33,937",92,1 in 369
Romania,"19,328,833","50,087",1 in 386
Vietnam,"3,989,171","10,300",1 in 387
Argentina,"45,195,832","116,029",1 in 390
Colombia,"50,882,799","127,380",1 in 399
Slovenia,"2,095,857","5,097",1 in 411
Slovakia,"5,457,861","13,166",1 in 415
Croatia,"4,058,161","9,400",1 in 432
Paraguay,"7,132,546","16,256",1 in 439
Belgium,"11,522,435","26,105",1 in 441
French Polynesia,"280,907",636,1 in 442
United States of America,"331,002,436","744,398",1 in 445
Mexico,"128,932,875","288,887",1 in 446
Moldova,"2,963,236","6,582",1 in 450
Italy,"59,641,473","132,283",1 in 451
Lithuania,"2,794,091","6,047",1 in 462
Tunisia,"11,818,607","25,254",1 in 468
United Kingdom,"67,886,001","141,395",1 in 480
Poland,"37,958,158","77,547",1 in 489
Chile,"19,116,166","37,794",1 in 506
South Korea,"4,033,962","7,958",1 in 507
Suriname,"586,630","1,101",1 in 533
Ecuador,"17,643,091","32,958",1 in 535
Spain,"47,332,709","87,477",1 in 541
Latvia,"1,907,673","3,401",1 in 561
France,"65,039,244","115,431",1 in 563
Portugal,"10,295,899","18,184",1 in 566
Grenada,"112,523",198,1 in 568
Uruguay,"3,473,729","6,080",1 in 571
Sint Maarten,"42,881",75,1 in 572
Bermuda,"62,273",106,1 in 587
Panama,"4,314,765","7,320",1 in 589
Andorra,"77,265",130,1 in 594
Russia,"145,934,151","244,447",1 in 597
Bahamas,"393,243",643,1 in 612
Ukraine,"43,733,679","70,842",1 in 617
Republic of the Congo,"106,766",171,1 in 624
Iran,"83,992,949","126,763",1 in 663
Greece,"10,718,599","16,151",1 in 664
South Africa,"59,308,507","89,251",1 in 665
Liechtenstein,"38,747",58,1 in 668
Serbia,"6,926,727","10,203",1 in 679
Guam,"168,775",248,1 in 681
Sweden,"10,327,601","15,050",1 in 686
Saint Lucia,"183,627",260,1 in 706
Namibia,"2,540,902","3,558",1 in 714
Costa Rica,"5,094,131","7,111",1 in 716
Luxembourg,"626,106",849,1 in 737
Belize,"397,628",499,1 in 797
Switzerland,"8,654,644","10,837",1 in 799
Austria,"8,901,038","11,136",1 in 799
Lebanon,"6,825,462","8,522",1 in 801
Trinidad and Tobago,"1,399,490","1,729",1 in 809
British Virgin Islands,"30,236",37,1 in 817
Estonia,"1,328,973","1,581",1 in 841
Guyana,"786,553",928,1 in 848
Germany,"83,166,590","96,346",1 in 863
Seychelles,"98,347",114,1 in 863
Puerto Rico,"2,860,852","3,239",1 in 883
Ireland,"4,964,430","5,492",1 in 904
Jordan,"10,203,104","11,077",1 in 921
Eswatini,"1,160,164","1,243",1 in 933
Curaçao,"164,092",175,1 in 938
Netherlands,"17,407,630","18,497",1 in 941
Antigua and Barbuda,"97,929",104,1 in 942
Honduras,"9,904,565","10,285",1 in 963
Botswana,"2,351,619","2,407",1 in 977
Kosovo,"2,877,810","2,944",1 in 978
Saint Martin,"38,658",37,1 in 1045
Israel,"8,655,569","8,112",1 in 1067
New Caledonia,"285,497",267,1 in 1069
Kazakhstan,"18,776,784","17,263",1 in 1088
Monaco,"39,243",36,1 in 1090
Malaysia,"32,366,034","29,155",1 in 1110
Malta,"514,562",462,1 in 1114
Guatemala,"17,915,612","15,222",1 in 1177
Turkey,"84,338,741","71,526",1 in 1179
Bahrain,"1,701,581","1,393",1 in 1222
Oman,"5,106,615","4,112",1 in 1242
United States Virgin Islands,"104,425",82,1 in 1273
Canada,"37,742,090","29,095",1 in 1297
Jamaica,"2,961,165","2,257",1 in 1312
Libya,"6,871,304","5,171",1 in 1329
Fiji,"896,443",674,1 in 1330
Jersey,"107,796",80,1 in 1347
Cuba,"11,326,607","8,252",1 in 1373
Bolivia,"10,139,198","7,182",1 in 1412
Isle of Man,"85,031",60,1 in 1417
Cyprus,"888,003",575,1 in 1544
Sri Lanka,"21,413,282","13,806",1 in 1551
Wallis and Futuna,"11,246",7,1 in 1607
Saint Vincent and the Grenadines,"110,939",69,1 in 1608
Turks and Caicos Islands,"38,717",23,1 in 1683
Iraq,"40,222,275","23,271",1 in 1728
Kuwait,"4,270,598","2,462",1 in 1735
Barbados,"287,376",164,1 in 1752
El Salvador,"6,486,218","3,664",1 in 1770
Indonesia,"273,526,104","143,500",1 in 1906
Mongolia,"3,278,310","1,704",1 in 1924
Belarus,"9,449,262","4,696",1 in 2012
Saint Kitts and Nevis,"53,191",25,1 in 2128
Denmark,"5,822,708","2,722",1 in 2139
Maldives,"540,540",244,1 in 2215
Dominica,"71,991",32,1 in 2250
Kyrgyzstan,"6,524,225","2,681",1 in 2434
Philippines,"109,581,676","43,825",1 in 2500
Morocco,"36,910,744","14,689",1 in 2513
Nepal,"29,137,048","11,436",1 in 2548
Venezuela,"10,848,007","4,146",1 in 2616
Guernsey,"64,467",23,1 in 2803
Myanmar,"54,409,973","18,766",1 in 2899
India,"1,380,005,401","459,873",1 in 3001
Zimbabwe,"14,863,107","4,685",1 in 3172
Laos,"2,142,275",658,1 in 3256
Thailand,"69,800,335","19,542",1 in 3572
Saudi Arabia,"34,814,258","8,800",1 in 3956
United Arab Emirates,"9,890,313","2,137",1 in 4628
Finland,"5,525,248","1,185",1 in 4663
Qatar,"2,880,988",611,1 in 4715
Montserrat,"4,999",1,1 in 4999
Zambia,"18,383,534","3,662",1 in 5020
Afghanistan,"38,928,972","7,284",1 in 5344
Djibouti,"988,014",183,1 in 5399
Egypt,"102,336,702","18,832",1 in 5434
Syria,"4,649,677",801,1 in 5805
Norway,"5,367,561",920,1 in 5834
Bangladesh,"164,690,249","27,887",1 in 5906
Comoros,"869,616",147,1 in 5916
Cambodia,"16,719,167","2,813",1 in 5944
Mauritius,"1,271,728",199,1 in 6391
Japan,"126,475,874","18,296",1 in 6913
Gambia,"2,416,725",341,1 in 7087
Algeria,"43,850,188","5,936",1 in 7387
Pakistan,"220,899,224","28,496",1 in 7752
Malawi,"19,130,723","2,302",1 in 8310
Equatorial Guinea,"1,403,039",168,1 in 8351
Senegal,"16,743,895","1,879",1 in 8911
Gabon,"2,225,797",249,1 in 8939
Rwanda,"12,952,158","1,332",1 in 9724
Faroe Islands,"48,866",5,1 in 9773
Kenya,"53,771,956","5,296",1 in 10153
Iceland,"364,142",34,1 in 10710
Singapore,"5,850,114",459,1 in 12745
Somalia,"15,894,209","1,238",1 in 12839
Guinea-Bissau,"1,968,070",143,1 in 13763
Uganda,"45,742,265","3,223",1 in 14192
Australia,"25,501,145","1,781",1 in 14318
Sudan,"43,850,658","2,995",1 in 14641
Anguilla,"15,001",1,1 in 15002
Cameroon,"26,545,008","1,731",1 in 15335
Yemen,"29,824,286","1,901",1 in 15689
Mozambique,"31,257,078","1,932",1 in 16179
East Timor,"11,403,362",685,1 in 16647
Liberia,"5,057,268",287,1 in 17621
Ethiopia,"114,959,378","6,509",1 in 17662
Angola,"32,867,801","1,718",1 in 19131
Northern Mariana Islands,"57,559",3,1 in 19186
Papua New Guinea,"8,946,672",406,1 in 22036
Uzbekistan,"33,467,134","1,334",1 in 25088
Ghana,"31,072,555","1,182",1 in 26288
Madagascar,"27,693,191",964,1 in 28727
Nicaragua,"6,624,405",209,1 in 31696
Tanzania,"65,724",2,1 in 32862
Togo,"8,279,386",243,1 in 34072
Guinea,"13,130,968",385,1 in 34106
Mali,"20,248,667",570,1 in 35524
Côte d’Ivoire,"26,373,626",696,1 in 37893
