,Country,Population,Total Deaths,Deaths,1 in X
20,Peru,"32,971,879","198,860",1 in 166,166
89,Bosnia and Herzegovina,"3,280,811","10,161",1 in 323,323
43,Hungary,"9,769,410","30,123",1 in 324,324
93,North Macedonia,"2,083,374","6,367",1 in 327,327
108,Montenegro,"628,066","1,818",1 in 345,345
185,Gibraltar,"33,691",97,1 in 347,347
61,Bulgaria,"6,951,594","19,876",1 in 350,350
27,Czechia,"10,693,775","30,427",1 in 351,351
3,Brazil,"212,558,954","588,597",1 in 361,361
186,San Marino,"33,937",90,1 in 377,377
9,Argentina,"45,195,304","113,969",1 in 397,397
10,Colombia,"50,883,305","125,753",1 in 405,405
68,Slovakia,"5,457,900","12,569",1 in 434,434
83,Slovenia,"2,095,881","4,809",1 in 436,436
64,Paraguay,"7,132,489","16,118",1 in 443,443
33,Belgium,"11,522,191","25,494",1 in 452,452
12,Italy,"59,641,237","130,167",1 in 458,458
53,Georgia,"3,989,231","8,446",1 in 472,472
15,Mexico,"128,935,224","269,913",1 in 478,478
69,Croatia,"4,058,088","8,481",1 in 478,478
132,French Polynesia,"280,912",585,1 in 480,480
49,Tunisia,"11,818,846","24,244",1 in 487,487
1,United States of America,"331,007,786","663,141",1 in 499,499
16,Poland,"37,958,557","75,473",1 in 503,503
4,United Kingdom,"67,884,479","134,805",1 in 504,504
29,Chile,"19,115,792","37,293",1 in 513,513
57,Ecuador,"17,643,329","32,559",1 in 542,542
37,Romania,"19,329,251","35,359",1 in 547,547
11,Spain,"47,333,002","85,739",1 in 552,552
7,France,"65,039,716","113,813",1 in 571,571
70,Uruguay,"3,473,738","6,045",1 in 575,575
38,Portugal,"10,295,844","17,888",1 in 576,576
86,Armenia,"2,963,285","5,101",1 in 581,581
78,Lithuania,"2,794,040","4,763",1 in 587,587
160,Andorra,"77,265",130,1 in 594,594
63,Panama,"4,314,729","7,159",1 in 603,603
84,Moldova,"4,034,021","6,569",1 in 614,614
60,Bolivia,"11,672,937","18,616",1 in 627,627
100,Kosovo,"1,795,663","2,849",1 in 630,630
195,Liechtenstein,"38,746",58,1 in 668,668
159,Aruba,"106,768",156,1 in 684,684
17,South Africa,"59,309,271","85,779",1 in 691,691
36,Sweden,"10,327,616","14,753",1 in 700,700
103,Latvia,"1,907,623","2,635",1 in 724,724
8,Iran,"83,994,500","116,072",1 in 724,724
107,Namibia,"2,540,899","3,448",1 in 737,737
191,Sint Maarten,"42,883",58,1 in 739,739
5,Russia,"145,929,939","196,626",1 in 742,742
51,Greece,"10,718,339","14,354",1 in 747,747
120,Luxembourg,"626,126",834,1 in 751,751
140,Suriname,"586,642",780,1 in 752,752
18,Ukraine,"43,733,525","54,750",1 in 799,799
201,British Virgin Islands,"30,236",37,1 in 817,817
42,Switzerland,"8,654,965","10,553",1 in 820,820
52,Lebanon,"6,825,581","8,218",1 in 831,831
48,Austria,"8,900,961","10,650",1 in 836,836
150,Bahamas,"393,258",469,1 in 839,839
58,Costa Rica,"5,094,290","5,889",1 in 865,865
14,Germany,"83,167,935","92,857",1 in 896,896
41,Serbia,"6,926,970","7,664",1 in 904,904
148,Seychelles,"98,348",106,1 in 928,928
95,Puerto Rico,"2,860,754","3,055",1 in 936,936
71,Ireland,"4,964,532","5,179",1 in 959,959
23,Netherlands,"17,407,656","18,097",1 in 962,962
25,Netherlands,"17,407,656","18,097",1 in 962,962
22,Netherlands,"17,407,656","18,097",1 in 962,962
24,Netherlands,"17,407,656","18,097",1 in 962,962
44,Jordan,"10,203,608","10,574",1 in 965,965
166,Guam,"168,768",174,1 in 970,970
131,Eswatini,"1,160,124","1,194",1 in 972,972
97,Botswana,"2,351,701","2,343",1 in 1004,1004
104,Estonia,"1,328,910","1,322",1 in 1005,1005
130,Trinidad and Tobago,"1,399,537","1,391",1 in 1006,1006
154,Belize,"397,645",385,1 in 1033,1033
72,Honduras,"9,904,119","9,400",1 in 1054,1054
158,Curaçao,"164,090",155,1 in 1059,1059
196,Monaco,"39,242",35,1 in 1121,1121
143,Guyana,"786,579",701,1 in 1122,1122
99,Albania,"2,877,835","2,563",1 in 1123,1123
137,Malta,"514,571",452,1 in 1138,1138
35,Israel,"8,655,072","7,465",1 in 1159,1159
192,Saint Martin,"38,659",33,1 in 1172,1172
85,Bahrain,"1,701,605","1,388",1 in 1226,1226
79,Oman,"5,106,701","4,092",1 in 1248,1248
39,Kazakhstan,"18,777,014","15,031",1 in 1249,1249
173,Saint Lucia,"183,619",139,1 in 1321,1321
30,Canada,"37,740,152","27,305",1 in 1382,1382
175,Jersey,"107,794",78,1 in 1382,1382
